Title,Source,Content,Country,Content_Type,Date
Tunisia - Completion and learning review for the period FY10-14 : IEG review, Web Resource ,"Tunisia had by 2010 been transitioning gradually and successfully from a natural resourcedependent
economy to a more market-based, diversified and internationally integrated model. The
incidence of poverty dropped sharply since 2000, although glaring regional disparities persisted.
There was, however, growing general frustration at the stultifying hold of a centralized, authoritarian
regime that increasingly served the exclusive interests of a small and powerful elite. In that context, a
series of events starting in December 2010 (""the revolution"") led to protests against the regime
throughout the country and to the flight of the president and his family in January 2011, followed by a
transition period with social and political unrest and several changes of government.
",Country :  Tunisia,Content Type : Reports,"April 28, 2016
"
"Ghana - Urban Environmental Sanitation Project, Village Infrastructure Project, and Second Community Water and Sanitation Project", Web Resource ,"This is the Project Performance Assessment Report (PPAR) of three projects in the Republic of Ghana: the Urban Environmental Sanitation Project, the Village Infrastructure Project and the Second Community Water and Sanitation Project. The three projects were selected because they had all been implemented within Ghana's overall strategy to decentralize central government services to the towns and rural districts. The national decentralization program has gone slowly, but each of these projects has made progress in their programs to decentralize the water and sanitation sector.",Country :  Ghana,Content Type : Reports,"July 7, 2006
"
Tanzania - Poverty Reduction Support Credit Project, Web Resource,"Ratings for the Poverty Reduction
            Support Credit (PRSC) Project for Tanzania were as follows:
            outcomes were moderately satisfactory, risk to development
            outcome was significant, Bank performance was moderately
            satisfactory, Borrower performance was moderately
            satisfactory, and monitoring and evaluation was negligible.
            Some lessons learned included: direct and sustained focus
            and clarity of vision over the entire course of
            implementation of PRSC programs that cover many years is
            required to facilitate lasting reforms particularly with
            regard to public sector governance. PRSCs can make little
            progress without a foundation of trust between the Bank and
            the government, and among development partners at the
            institutional and individual levels. The mechanisms for
            dialogue also need to evolve so that the program can
            continue to support and influence policy decisions at the
            highest strategic level. To avoid misunderstanding, the Bank
            and government can plan in advance to recalibrate the
            program at a set point during implementation. The lack of
            well-defined and realistic objectives and a fully developed
            results framework makes adjustment to changing circumstances
            difficult. Regular reporting on key outcome indicators is
            essential so that data can drive adjustments to the PRSC
            program. Transitioning to the use of PRSCs as the primary
            instrument for resource transfer is only likely to be
            successful in rare circumstances, when strong central
            ministries can fully pursue a sector-inclusive dialogue
            representing the perspectives of key players throughout
            government. Elevating to the national dialogue
            sector-specific structural reforms that stalled at the
            sector level does not guarantee implementation. ",Country :  Tanzania,Content Type : Reports,"June 14, 2013
"
Kingdom of Cambodia : Public Financial Management and Accountability Project, Web Resource ,"The World Bank extended support to Cambodia through the Public Financial Management and Accountability Project (PFMAP) during a time when 30 percent of the population lived below the poverty line, human development indicators were discouraging, and public services were largely inaccessible and lacked adequate quality. In this context, sound economic management and the effective and accountable use of public resources were paramount in order to improve economic and social improvements. However, many important institutions of governance and public sector management, were destroyed by the ultra-radical Khmer Rouge regime, and only just started to be rebuilt. Public financial management was largely dysfunctional, posed significant fiduciary risks and oversight institutions were unfit to point out systemic problems and corruption. Further, resource mobilization was among the weakest in the region, undermining aggregate fiscal sustainability. The PFMAP aimed to address many of these ailments through strengthening the mobilization and utilization of public resources, bolstering accountability institutions, and developing the capacity of the civil service.",Country :  Cambodia,Content Type : Reports,"October 31, 2016
"
Lebanon - Completion and learning review for the period FY2011-2015 : IEG Review, Web Resource ,"Lebanon is an upper middle income country with average inequality, as measured for example
by a 0.361 Gini coefficient, for countries in the Middle East and North Africa. At the outset of the
Country Partnership Strategy (CPS)1 period, in 2011, a unity government fell apart, and this
inauspicious political development was compounded by the onset of the crisis in Syria that brought
numerous security issues and an influx of refugees. Both the domestic political instability and the
refugee influx constituted a challenging background for implementation of a Bank program that had
difficulty finding a proper footing to foster reform. The CPS areas of focus reflected the directions and
priorities of the governmentâs Progress and Development program: energy, water, transport, municipal
and urban development, social protection, and fiscal management.
",Country :  Lebanon,Content Type : Reports,"July 6, 2016
"
"Ghana - Primary School Development, and Basic Education Sector Improvement Projects", Web Resource ,"The audit ratings regarding the Basic Education Sector Improvement Project, concur with the Implementation Completion Report ' s of a moderately satisfactory project outcome, likely sustainability, modest institutional development impacts, and satisfactory Bank and Borrower performances; whereas regarding the Primary School Development Project, audit ratings concur on modest institutional development impacts, and on a satisfactory Bank performance, yet unsatisfactory Borrower performance, however, it slightly upgrades project outcomes to moderately unsatisfactory, and sustainability to likely. Lessons suggest: 1) over-ambitious project design results in slow implementation, and will thus require restructuring; 2) lack of staff continuity, both by the Bank and borrower, can undermine successful project implementation; 3) donor coordination requires a serious degree of commitment to sector approaches, both from government, and donors to ensure success. However, project design should not be based on a sector approach until there is clear indication that such an approach will actually be adopted; 4) attempts at community mobilization failed as the adopted approach, fostered an insufficient sense of ownership in the community. This experience contrasts with that in some other African countries, in which social funds have successfully mobilized communities to contribute to school construction, and then maintain them. However, community financing for school facilities can create disparities in the quality of schooling - and has already done so in Ghana. Such biases need to be offset by direct support from the government.",Country :  Ghana,Content Type : Reports,"July 1, 2004
"
Dominican Republic - Country partnership strategy completion report (CPSCR) review for the period FY2010-13 : IEG review, Web Resource ,"This review examines the implementation of the FY2010-FY2013 Dominican Republic Country Partnership Strategy (CPS) of FY2010 and the CPS Progress Report (CPSPR) of FY2012, and assesses the CPS Completion Report (CPSCR). The CPS was implemented by IBRD and IFC, and this review covers the program of both institutions. The Bank Group's program had four strategic objectives, which aligned with the country's development plan, (i) strengthen social cohesion and improve access and quality of social services; (ii) promote competitiveness in a sustainable and resilient economic environment; (iii) enhance quality of public expenditures and institutional development; and (iv) build capacity and constituencies for reform. IEG rates the overall outcome as Moderately Satisfactory. Access to education increased and the coverage and quality of the social protection program improved as envisaged in the CPS. Employability of youth at-risk also improved, but mother and child healthcare quality improved less than envisaged during the CPS. In budget management, under the CPS important work began on performance-based programs, and central government agencies are now using an integrated financial management system, which is beginning to be extended to decentralized and autonomous agencies. Moreover, a larger share of government revenues is being channeled through the Single Treasury Account, which is increasing the quality of monitoring and accountability. The competitiveness pillar showed virtually no results and thus was the least successful of the four pillars in achieving objectives. The CPSCR presents a candid discussion of CPS implementation and has good lessons. The analysis of IFC's contributions is not as precise as the assessment of IBRD's work, but the completion report does give a picture of synergies between IBRD and IFC under the CPS. The CPSCR recommends that project design take into account the effort required to create consensus for reform and achieve inter-institutional coordination. Moreover, it underscores the need to strengthen Monitoring and Evaluation (M&E) in the next CPS. IEG agrees with these recommendations of the CPSCR, and adds two lessons: (a) overreliance on development policy loans (DPLs) can help improve disbursement ratios but will not accelerate reform, particularly if the country and the Bank do not do the preparatory work required for such reforms; and (b) continued involvement in areas where there is a long history of slow reform, such as energy, should require evidence of a strong long-term government commitment to reform.
",Country :  Dominican Republic,Content Type : Reports,"September 8, 2014
"
Papua New Guinea - Smallholder Agriculture Development Project, Web Resource ,"Papua and New Guinea (Papua New Guinea) has faced considerable development challenges since its independence in 1975. Through the Smallholder Agriculture Development Project, the World Bank sought to improve community participation in rural areas by supporting the already-established local palm oil production industry. The objective of SADP in the financing agreement (July 2008) was to increase, in a sustainable manner, the level of involvement of targeted communities in their local development through measures aimed at increasing oil palm revenue and local participation.

Ratings for the Smallholder Agriculture Development Project are as follows: Outcome was unsatisfactory, Risk to development outcome was high, Bank performance was moderately unsatisfactory, and Borrower performance was unsatisfactory. Lessons from the project include: (i) Projects that seek to improve crop productivity and income on smallholder farms, in addition to CDD, work better when they integrate the two disparate objectives because of the very different implementation modalities involved. (ii) Complex, multidimensional projects require additional oversight and support in environments with weak government implementation capacity. (iii) Creative operational approaches or sufficient institutional support is required in weak-capacity environments to ensure that project disbursements are distributed effectively. (iv) Understanding cultural impacts and how they influence agricultural cash crops in smaller, geographically isolated states is necessary to ensure that political constraints do not reduce the impact of World Bank projects. (v) Agricultural sector road infrastructure investments need to be coordinated sufficiently with domestic private-sector interests and provincial government priorities to ensure sustainability and future operational maintenance.",Country :  Papua New Guinea,Content Type : Reports,"September 18, 2018
"
The World Bank in Nigeria 1998-2007: Nigeria Country Assistance Evaluation, PDF file,"Following the restoration of democracy in Nigeria, the World Bank worked closely with the federal government to help achieve the government's priorities of establishing good governance, rebuilding the country's infrastructure, improving service delivery, and promoting non-oil growth. Reflecting the preference of the government, the Bank chose to initiate a large number of projects rather than to engage in up-front analytic work. Many of these projects ran into difficulties, partly because of the Bank's failure to factor into program design both the country's overall institutional weakness and the Nigerian authorities' inexperience in dealing with Bank procedures.

Economic reforms proceeded at a relatively slow pace; in mid-2003, however, the government created a reform team that acted decisively to improve fiscal discipline and public expenditure management, to make a start on public sector reform, and to introduce the changes in the institutional framework needed to address corruption. The Bank moved quickly to support these efforts, providing loan and grant support for needed capacity-building initiatives. The Bank also reevaluated its Nigeria portfolio and took steps to improve it and to ensure that it focused on priority issues. Arresting the deterioration of Nigeria's infrastructure has been a challenge; although the track record is littered with setbacks, support from the Bank now holds promise to help the government make tangible progress in this area. 

The focus of Bank support is now shifting to Nigeria's 36 states. The state governments control roughly half of the country's public resources and carry the bulk of responsibility for service delivery. A key challenge facing the Bank is how to engage effectively with these governments. The approach proposed by the Bank, which entailed identifying âlead states,â held promise; however, it was not fully operationalized. 

Overall, the outcomes of the Bank program in Nigeria are rated as moderately unsatisfactory.  This rating recognizes the improvement later in the period reviewed in macro-economic management following the appointment of the reform team, but balances this against the moderately unsatisfactory progress in infrastructure development and service delivery.   Working with state governments to ensure that the substantial resources they receive translate into real improvements in the lives of Nigerian citizens, most notably the country's poor, is the most important challenge facing the Bank in the next 5â10 years.",Country :  Nigeria,Content Type : Reports,"July 1, 2010
"
The Gambia - Joint assistance strategy completion report (JASCR) review for the period FY2008-12 : IEG review, Web Resource ,"This review examines the implementation of the Fiscal Years (FY) 2008-2011 Joint Assistance Strategy (JAS) of The Gambia and the JAS Progress Report (JASPR) of FY 2009, and assesses the JAS Completion Report (JASCR). Although the JAS was jointly implemented by the World Bank and the African Development Bank , this review covers only the program of the World Bank. 

The JAS objectives were organized under two main pillars: (i) strengthening the institutional framework for economic management and public service, and (ii) enhancing productive capacity and accelerating growth and competitiveness. 

IEG rates the overall outcome of IDA assistance as moderately unsatisfactory, which is below the JASCR rating of moderately satisfactory. Under both pillars, good progress was achieved toward some objectives; but limited or no progress was made in many areas.

IEG concurs with the lessons identified in the JASCR, and underscores three additional points. First, guidelines pertaining to the role of partner institutions, resource requirements to facilitate the process, and procedures for interaction within and between the partner institutions need to be clarified before such collaboration is initiated. Second, harmonization in line with the Paris Declaration on Aid Effectiveness explicitly requires government ownership and leadership. Consequently, capacity support to the Government in this respect should be explicitly incorporated in the partnership program. Finally, the realism and relevance of the support program depend largely on the expected outcomes. Developing a practical results framework that is complemented by an implementable (i.e., supported by available data) monitoring and evaluation system is imperative for guiding program implementation.","Country :  Gambia, The",Content Type : Reports,"March 25, 2013
"
Creating Markets: A Special Challenge for Low-income Countries, Web Resource,Tight government fiscal positions in low-income countries justify the search for private sector solutions to support much needed investments- but the enabling environment in these countries must improve first to attract the private sector., ,Content Type : Blog,"May 8, 2018
"
Nigeria - Country partnership strategy progress report for FY2010-FY2013 : IEG CPSCR review, Web Resource ,"The review examines the implementation of the FY2010-FY2013 Country Partnership Strategy (CPS) of FY2010 and the CPS Progress Report (CPSPR) of FY2012. The strategy was jointly designed and implemented by IDA, the African Development Bank, the UK Department for International Development, and the US Agency for International Development. Although the CPS and CPSPR made reference to the IFC program insofar as it would complement the IDA program, both documents were presented without formal endorsement from IFC, and the CPSCR has limited discussion of IFC activities; this review covers only IDA activities. The Bank has been consistent in using the pillars of the 2004 National Economic and Environmental Development Strategy for 2005-2007 (NEEDS) in all three CPS' in Nigeria since 2004. The objectives of the FY2010 CPS were organized under the three pillars of the NEEDS. The CPSPR confirmed the validity of the CPS approach, and provided a new meta-objective, âMitigating the Impact of the Global Economic Crisis.â It introduced significant changes to the results matrix, which on the whole lowered the bar for success. IEG rates the overall outcome of IDA support as moderately satisfactory, concurring with the CPSCR rating. Consistent support from the Bank over an extended period of time contributed to significant progress in developing the institutional framework for the power sector. Good progress was also achieved in agricultural development, with significant impact on poverty reduction. A series of modest steps were taken in the right direction to strengthen the institutions and systems for better governance, although there seems to lack a scale-up strategy for replicating these initial efforts, especially at the state level. Moreover, the positive achievements were partly offset by disappointing results in other areas of Bank engagement: although urban transport in Lagos improved, progress was limited in the overall transport network; while there was progress in post-basic education, polio, and maternal health care, little was achieved in basic education, HIV/AIDS, malaria, and institutional reforms in the social sectors. In addition, there was limited progress in environmental management and PPP. Finally, in spite of a substantial and well thought through support effort by the Bank, Nigeriaâs business environment deteriorated in many ways during the CPS period. IEG concurs with the four key lessons drawn in the CPSCR, and wishes to underscore three additional points. First, there is a need for close and careful portfolio management throughout the project cycle. The Nigeria program has few examples of project turn-around and there should be a real burden of proof on the supervision team that optimism is warranted. Second, there is a need for greater strategic coherence, not just in the preparation of the CPS document but in the follow through in program implementation. A concerted effort to enhance governance and to address poverty should be the challenges of the next CPS. Finally, there is a need to develop a strong results framework that provides a clear line of sights for strategic decision making and accountability. This requires an explicit results chain that links Bank interventions, the complementary actions by the government and partners, and other critical factors, to the strategic objectives, as well as a results matrix that is stable enough for tracking results.
", ,Content Type : Reports,"April 8, 2014
"
What Can 6 Countries Tell Us About Tax Reform?, Web Resource,"Tax revenue gains are an increasingly important source of revenue, especially after the onset of the pandemic, as governments struggle to fund a myriad of demands, from health sector capacity building to climate change adaptation. A new Evaluation Insight Note reviews evidence from experience supporting domestic revenue mobilization and draws lessons for the World Bank to enhance its support in client countries. ", ,Content Type : Blog,"August 7, 2023
"
Ghana - Mining Sector Rehabilitation Project and the Mining Sector Development and Environment Project, Web Resource ,"The outcome of the Mining Sector Rehabilitation Project is rated moderately unsatisfactory; project sustainability is rated unlikely because the Minerals Commission, on of the project ' s successes, is in financial difficulty, threatening its future performance. Both Bank and Borrower performances are assessed as unsatisfactory, given poor project quality at entry, inadequate supervision, and the inability of the government to make hard deciosions. The overall outcome of the Mining Sector Development and Environment Project is assessed as moderately satisfactory in light of the project ' s continuing relevance and the substantial progress in its capacity-building objective. However, the sustainability of the capacity building achievements of the project is now in doubt and overall project sustainability is rated unlikely. Bank performance is assessed as satisfactory, albeit only marginally, given shortcomings in the project ' s quality at entry. Borrower performance is assessed as unsatisfactory because the Government did not provide proper sector leadership, failed to reform the Geological Survey Department and latterly did not provide adequate funding for the Minerals Commission to operate effectively. The main lessons learned are: 1) Improving the legal and fiscal framework for private investors can be highly effective in attracting inflows of capital to the mining sector. 2) Legalization of artisanal mining is desirable but needs to be accompanied by measures to tax and control the environmental damage caused by such mining. 3) Effective, transparent, and equitable mechanisms for transferring resources back to communities affected by large-scale mining are essential sociopolitical tools to ensure that tangible economic benefits are felt by local people and that mining has legitimacy in the eyes of the public.",Country :  Ghana,Content Type : Reports,"July 1, 2003
"
Russia - Biodiversity Conservation Project, Web Resource ,"The ratings for the Biodiversity Conservation Project for Russia are as follows: outcome was satisfactory; risk to the development outcome was moderate; Bank performance was satisfactory; and Borrower performance was moderately satisfactory. Lessons learned from the projects included: securing budgets for conservation at the regional level as soon as possible. As with many conservation projects supported by the Bank/global environment facility (GEF), a commitment by the government to allocating resources for the longer term needs to be secured and arrangements for a stable funding mechanism stipulated and agreed during project preparation. While the budget for environment conservation of the model regions has seen increases, overall allocations for conservation have been reduced. Using a programmatic approach for complex and challenging conservation projects. A programmatic approach or another phasing instrument may be more appropriate in obtaining tractability in the short-term and sustainability in the long-term. This will have been especially appropriate given the 60 major tasks and numerous sub-tasks spread across Russia, involving national, regional and local governments and staff from Non-governmental Organizations (NGOs), academia and the general public. Integrating conservation with regional/local planning commensurate with projected needs to conserve biodiversity at ecosystem, species and genetic levels. For future projects, priority should be given to better integration of protected areas (PAs) with the growth of local economies based upon enhanced ecosystem services and to adapting emerging tools to support restoration of ecological units, especially for application in the most heavily degraded agrarian regions.",Country :  Russian Federation,Content Type : Reports,"May 9, 2008
"
India - Andhra Pradesh Forestry Project, Web Resource ,"The audit concurs with the ratings of the Implementation Completion Report (ICR) of highly satisfactory outcomes, high institutional development, and likely sustainability. Likewise, the Borrower performance is rated satisfactory; in contrast though, the Bank performance, while generally good, compels an unsatisfactory performance rating, due to a violation of the Involuntary Resettlement safeguard. Lessons convey, first, that it is possible to turn around the strategy of a large public entity from command-and-control, to community participation quite quickly, given commitment at high levels. Therefore, sustained, skills development for government staff, and for stakeholders in participatory processes, over periods longer than a single project is necessary. Second, in any tribal forest situation, there is a high potential for involuntary resettlement. During the project review, Bank management should carefully question claims in natural forest management projects, where involuntary resettlement issues should be anticipated. Third, even where a high percentage of the poor are forest dependent, it is much easier to manage forests for trees, than for the poor; hence, equitable distribution of the benefits, needs early attention through pro-poor policy, government and community processes, and resource management systems. Fourth, economic analysis of community development interventions will usually be incomplete, if it assesses only the net benefits associated with members themselves, or their allocated area. This is because others may have previously utilized resources inside the boundary, and also because members may have previously utilized resources outside the boundary.",Country :  India,Content Type : Reports,"July 8, 2002
"
IEG LIVE: Why Focus on Results When No One Uses Them? Towards Useful Evaluations, Web Resource,A lively conversation among leaders in development about producing and using evaluations and putting countries on pathways to evidence-based decision-making. The session was hosted by the Independent Evaluation Group in partnership with the International Initiative for Impact Evaluation (3ie) and the World Bank Group’s Governance Global Practice., ,Content Type : Event,"April 17, 2015
"
Lao People’s Democratic Republic : second education development project, Web Resource ,"This Project Performance Assessment Report (PPAR) assesses a primary education project in the Lao People’s Democratic Republic, the Second Education Development Project, commonly known as EDP2. This program was financed by the World Bank and the government of Australia. The project was approved in April 2004, and closed in
August 2013. The World Bank’s total contribution was $28.2 million.
This report was prepared by Erik Bloom, Senior Economist, IEG and Inthansone Phetsering, consultant. The findings are based on an extensive review of the literature, project reports, and a field visit, December 4–18, 2016. This mission included a field visit to Oudamxay province. The mission talked to current and retired staff involved in the
project’s implementation in the Ministry of Education and Sports and with staff from the World Bank and the government of Australia. The mission also met with education officials at the province and district levels in Oudamxay province. The mission also visited five remote schools in two districts. As much as possible, the PPAR cites publically available documents, and when appropriate, it refers to interviews and internal documents. 
The project’s credit agreement states the project’s development objective as: To assist the Borrower to achieve universal completion of primary education by implementing the education policies and reform actions set forth in its Letter of Education Policy, including increasing access to, and the completion of, primary school in the project provinces, improving the quality of access to, and the completion of, primary school in the project provinces, improving the quality of
education, and building the policy development and management capacity of its Ministry of Education.
", ,Content Type : Reports,"March 30, 2017
"
"Jordan - Agriculture Sector Adjustment, and Agricultural Sector Technical Support Projects", Web Resource ,"This audit report somehow differs from the Implementation Completion Report, and Evaluation Summary ' s (ES) assessment, in that it downgrades the outcome ratings of both the Agricultural Sector Adjustment Loan (ASAL), and Agricultural Sector Technical Support (ASTS) Projects to moderately satisfactory, but upgrades the ASAL ' s institutional development to substantial, while concurs with the ES ' s rating on the ASTS ' institutional development as modest. However, the consistent ratings in both operations show likely sustainability, and satisfactory performances from both the Bank, and Borrower. The experience of the two projects, confirm key lessons from the Operations Evaluation Department as follows. The overly ambitious ASAL project design - in addressing both agriculture sector/trade and water reforms - was limited by political constraints, given farmers could not at the same time, pay more for water, and be constricted by the elimination of subsidies, and loss of import protection. Instead, the ASAL could have been an appropriate instrument for institutional reform of the water sector, had the Bank better understood the government ' s concerns on social, poverty, and employment impacts of higher agricultural water tariffs, and worked in a participatory, more incremental approach to address these concerns. This harmed the Bank ' s credibility, for although the cross-sectoral and strategic framework for water and agriculture, were supportive (even accepted by stakeholders) of increased water tariffs, at approval time it was clear that a second water tariff increase would be politically unrealistic. Thus, the second tranche release undermined donor partnerships, and mislead the government towards wrongful tariff increases. The above confirms that reforms cannot be imposed, and the Bank needs to be more sensitive to the political economy of reform, acceptability, and timing.",Country :  Jordan,Content Type : Reports,"January 31, 2003
"
Tanzania - Secod Port Modernization and Railway Restructuring Projects, Web Resource ,"The audit concurs overall with the Implementation Completion Report's (ICR) ratings of satisfactory project outcome, likely sustainability, substantial institutional development impacts, and satisfactory performances by both the Bank and Borrower, as it concerns the Second Port Modernization Project (PMPII); yet, regarding the assessment of the Railway Restructuring Project (RRP) the audit, although largely concurs with the ICR ratings of unsatisfactory project outcome, yet substantial institutional development impacts, and satisfactory performances by the Bank and Borrower, slightly differs on the unlikely sustainability rating, assessing this as non evaluable, and, also differs on the ICR Review rating of the Borrower, upgrading same from unlikely to satisfactory. The audit confirms the following lessons. The freedom to operate according to market principles potentially makes the operational efficiency of privately run concessions, superior to that of parastatal organizations for ports and railways. Thus, the concentration of investment with high volumes of traffic, lower operational costs, and relative autonomy from government, generally makes port concessions a relatively low risk for investors. Yet, if railways are likely to incur losses, and/or are inadequately compensated for uneconomic services, investors will be hard to come, and therefore bidding conditions, and the terms of the concession agreement will need to take this fact into account. The design of projects preparing parastatal companies for privatization should also consider the capacity, and commitment of government, and management to carry through the reform process. Targets and timetables should be realistic, and, special care should be placed in the selection of qualified consultants preparing bidding documentation.",Country :  Tanzania,Content Type : Reports,"June 22, 2005
"
Paraguay - Country assistance strategy completion report (CASCR) review for the period FY09-FY13, Web Resource ,"This review examines the implementation of the FY09-FY13 Country Partnership Strategy (CPS) of FY09 and the CPS Progress Report (CPSPR) of FY12, and assesses the CPS Completion Report (CPSCR). The CPS was an IBRD-only strategy although IFC did have operations in Paraguay during the CPS period. The Bank strategy focused on improving governance to combat corruption; alleviating poverty and reducing extreme poverty; and fostering growth with a focus on generating employment and improving income distribution. The political context of this CPS was complicated. Many Bank initiatives were uncertain, especially after June 2012, when the President was removed from office. No Bank new lending or TA was approved between June 2012 and April 2013. In this difficult policy environment the results of the Bank program were mixed. Indicators of governance and corruption did not improve significantly. Paraguay remains at the bottom of the World Economic Forum's ranking on the indicator of diversion of public funds due to corruption, with the rating virtually unchanged at 1.8 out of 7 during the CPS. The country made some progress on reducing poverty, and the percentage of the population below the poverty line decreased from 35.1 percent in 2009 to 23.8 percent in 2013 according to the World Development Indicators. However, there was only minor improvement in alleviating extreme poverty which is concentrated in rural areas, and income inequality has continued to deteriorate despite a growing economy
",Country :  Paraguay,Content Type : Reports,"November 18, 2014
"
"Azerbaijan - Farm Privatization Project, and Agricultural Development and Credit Project", Web Resource ,"This Project Performance Assessment Report reviews two projects that supported Azerbaijan's comprehensive land and agricultural reform program. Between them the projects pioneered Azerbaijan's reform program over its first ten years (1997 - 2006). The Farm Privatization Project's (FPP, 1997-2003) objective was to accelerate the Government's program for land privatization and farm restructuring of representative state and collective farms in a systematic manner to provide models which could serve as a basis for wider geographic replicability and subsequent development of a national program.
The Agricultural Development and Credit Project (ADCP, 1999-2006) was the first phase of a three-phase Adjustable Program Loan.",Country :  Azerbaijan,Content Type : Reports,"July 28, 2008
"
The Key to Making Cities More Resilient? Accountability., Web Resource,Governments and lending institutions must learn to identify—and track the progress of—interventions that build resilience in urban areas., ,Content Type : Blog,"October 30, 2019
"
"China - Forestry Development in Poor Areas Project, and Sustainable Forestry Development Project", Web Resource ,"This report assesses a cluster of World Bank-supported projects and analytic and advisory activities (AAA) bearing on forests in China.

IEG rated the outcomes of the Forestry Development in Poor Areas Project as satisfactory. Its objective was highly relevant, given that further investment in establishing timber plantations would help to reduce pressure to log natural forest, contributing to the conservation goals of Bank and Borrower. IEG also rated the outcome of the Sustainable Forestry Development Project as moderately satisfactory. Its objective was highly relevant, because it was consistent with government's increasing commitment to conservation and with changes in the Bank's country strategy that emphasized the need not to limit forest interventions to plantation establishment. The project design was modestly relevant, mainly because there were doubts about the incentives for communities to help improve management of protected areas and natural forests.",Country :  China,Content Type : Reports,"June 28, 2012
"
Tanzania - Forest Conservation and Management Project, Web Resource ,"This is the Project Performance Assessment Report (PPAR) for the Tanzania Forest Conservation and Management Project (TFCMP) and the Eastern Arc Forest Conservation and Management Project (EAFCMP).  Their shared project development objective was to assist the government in the establishment of a framework for the long-term sustainable management and conservation of Tanzania's forest resources, strengthening the role of individuals, institutions and communities, and the private sector in management and conservation of forests. The global environment objective was to promote the sustainable conservation and management of the Eastern Arc forests.
IEG rated the outcome of the TFCMP and EAFCMP as unsatisfactory. The relevance of objectives was substantial, while the relevance of design was modest. Efficiency was rated modest. The quality of Monitoring and Evaluation was negligible. The Risk to Development Outcome is rated high. Bank performance is rated moderately unsatisfactory. While the project responded to priorities outlined in the forest policy, its scope was overambitious, M&E was of poor quality, and supervision was hampered by a lack of continuity in task managers. Borrower performance is rated moderately unsatisfactory. Government commitment was insufficient to bring about the proposed reforms within the project timeframe and project management suffered from capacity constraints in procurement and financial management.", ,Content Type : Reports,"June 29, 2011
"
Nicaragua - Education Project, Web Resource ,"This is a Project Performance Assessment Report (PPAR) focusing on Nicaragua's
Education Project. This project was financed through IDA Credit No. 3978 in the amount
of US$15.0 million equivalent and a planned Government contribution of US$0.7 million
equivalent. The credit was approved on September 2, 2004 and became effective on
March 17, 2005. It was restructured on June 30, 2008 and was closed on June 30, 2011,
three years after the original closing date.
", ,Content Type : Reports,"June 12, 2015
"
St. Lucia - Economic and Social Development Policy Loan and Credit Project, Web Resource ,"This Project Performance Assessment Report assesses the Uganda Second Local Government Development Project (2003 to 2008). The project's development objective was to improve Local Governments' institutional performance for sustainable, decentralized service delivery, particularly for the poor. It built on lessons from the previous operation, and sought to support implementation efforts as an important step toward achieving the Millennium Development goals in education, health, and access to water. The project's overall outcome is rated Moderately Unsatisfactory. Key lessons identified were, (i) Policy reversals can cause serious damage to otherwise significant project outcomes, and are difficult to counter. District proliferation or reduction in un-earmarked funding, or Local Governments' rights to raise revenues, need to be monitored closely as these could be early signals of policy reversal. (ii) Monitoring should be focused on outcome indicators as well as process indicators; moreover, indicators are best unified across sectors. (iii) Decentralization is not a sector, while it was treated as such in Uganda with a Sector Working Group, a Sector Investment Plan, and specific donor support. Decentralization of service delivery affects all economic sectors and should be supported in a harmonized way across sectors and donor programs. (iv) Many conditional grants to Local Governments are funded through donor programs. A fully decentralized sector allocation, supported through government budgets, however, requires changes to ways of donor fund allocations across sectors, given that such allocations cannot be determined a priori. This is even more important in case Local Governments and communities have authority to do so, while, on the other hand, incompatibilities exist in this regard, such as those related to development cooperation frameworks or to sector-specific earmarking of funds by teams.
",Country :  St. Lucia,Content Type : Reports,"May 30, 2014
"
China : thermal power efficiency project, Web Resource ,"The China Thermal Power Efficiency project sought to reduce coal consumption and greenhouse gas emissions per unit of electricity in three provinces in China – Shanxi, Shandong and Guangdong. The project was conceived as a response to the predominance of coal in China’s energy mix and the need to find ways of improving existing infrastructure over and above weaning the country away from this reliance as an energy source. China’s rising energy demand had relied heavily on domestic coal production and the rapid expansion of local thermal power generation plants that utilized this coal. Increasingly, these plants were having adverse environmental impacts, particularly in regions experiencing significant increases in energy demand from manufacturing sector.

Ratings for the project are as follows: Outcome is satisfactory, Risk to development outcome is moderate, Bank performance is satisfactory, Borrower performance is satisfactory, and Monitoring and Evaluation is satisfactory. Lessons from the project include: (i) Piloting and demonstrating potential technological improvements to lower costs and improve environmental performance works well in environments where operators are risk averse and constrained by government policy. (ii) The World Bank’s international experience and expertise has the capacity to make an important contribution to pollution reduction in the thermal power sector. (iii) External help and international expertise provided by World Bank projects at the provincial level in middle income countries helps support and reinforce successful central government policy. (iii) Analytical work needs to respond to the immediate needs of the sector rather than being determined by supply-side factors. (iv) A ‘hands-off’ approach by the World Bank in high capacity environments can lead to missed opportunities in maximizing a project’s potential. (v) Barriers to the closure of small inefficient power units are often political. Fostering the key relationships with partners is essential in knowing what and how reforms can be implemented in challenging environments. 
",Country :  China,Content Type : Reports,"June 13, 2018
"
